date,open
2013/4/28,135.3
2013/4/29,134.44
2013/4/30,144
2013/5/1,139
2013/5/2,116.38
2013/5/3,106.25
2013/5/4,98.1
2013/5/5,112.9
2013/5/6,115.98
2013/5/7,112.25
2013/5/8,109.6
2013/5/9,113.2
2013/5/10,112.8
2013/5/11,117.7
2013/5/12,115.64
2013/5/13,114.82
2013/5/14,117.98
2013/5/15,111.4
2013/5/16,114.22
2013/5/17,118.21
2013/5/18,123.5
2013/5/19,123.21
2013/5/20,122.5
2013/5/21,122.02
2013/5/22,122.89
2013/5/23,123.8
2013/5/24,126.3
2013/5/25,133.1
2013/5/26,131.99
2013/5/27,133.5
2013/5/28,129.77
2013/5/29,129
2013/5/30,132.25
2013/5/31,128.8
2013/6/1,128.82
2013/6/2,129.3
2013/6/3,122.5
2013/6/4,120.74
2013/6/5,121.4
2013/6/6,121.9
2013/6/7,118.97
2013/6/8,111
2013/6/9,107.89
2013/6/10,100.44
2013/6/11,106.35
2013/6/12,109
2013/6/13,108.78
2013/6/14,103.95
2013/6/15,100
2013/6/16,99.8
2013/6/17,99.9
2013/6/18,101.95
2013/6/19,107.05
2013/6/20,108.25
2013/6/21,111.29
2013/6/22,109.5
2013/6/23,108.2
2013/6/24,107.9
2013/6/25,102.09
2013/6/26,103.33
2013/6/27,104
2013/6/28,101.74
2013/6/29,94.66
2013/6/30,95
2013/7/1,97.51
2013/7/2,88.05
2013/7/3,90.4
2013/7/4,78.89
2013/7/5,79.99
2013/7/6,68.5
2013/7/7,68.75
2013/7/8,76.5
2013/7/9,76
2013/7/10,76.72
2013/7/11,88
2013/7/12,88.98
2013/7/13,93.99
2013/7/14,98.7
2013/7/15,93.61
2013/7/16,98.89
2013/7/17,96.71
2013/7/18,98.5
2013/7/19,90.07
2013/7/20,92
2013/7/21,89.82
2013/7/22,92
2013/7/23,91.6
2013/7/24,95.56
2013/7/25,94.5
2013/7/26,96.95
2013/7/27,96.02
2013/7/28,94.4
2013/7/29,98.6
2013/7/30,101.49
2013/7/31,107.95
2013/8/1,106.21
2013/8/2,104.86
2013/8/3,104.5
2013/8/4,104.95
2013/8/5,105.12
2013/8/6,106.72
2013/8/7,106.75
2013/8/8,106.75
2013/8/9,103.07
2013/8/10,102.8
2013/8/11,103
2013/8/12,105
2013/8/13,106.99
2013/8/14,109.56
2013/8/15,112.56
2013/8/16,110
2013/8/17,108.99
2013/8/18,112.75
2013/8/19,113.38
2013/8/20,119
2013/8/21,121.21
2013/8/22,123.3
2013/8/23,122
2013/8/24,118.51
2013/8/25,119.6
2013/8/26,122.11
2013/8/27,120.07
2013/8/28,126.48
2013/8/29,122.62
2013/8/30,122.35
2013/8/31,133.09
2013/9/1,135.14
2013/9/2,138.63
2013/9/3,135.61
2013/9/4,136.53
2013/9/5,126.76
2013/9/6,126.49
2013/9/7,118.89
2013/9/8,124.13
2013/9/9,121.86
2013/9/10,127.27
2013/9/11,125.89
2013/9/12,135.55
2013/9/13,132.83
2013/9/14,135.01
2013/9/15,129.4
2013/9/16,130.86
2013/9/17,131.59
2013/9/18,131.71
2013/9/19,131.37
2013/9/20,129.7
2013/9/21,126.95
2013/9/22,127.87
2013/9/23,128.98
2013/9/24,126.05
2013/9/25,127.38
2013/9/26,128.21
2013/9/27,128.94
2013/9/28,133.77
2013/9/29,134.9
2013/9/30,137.15
2013/10/1,132.68
2013/10/2,132.05
2013/10/3,114.45
2013/10/4,123.41
2013/10/5,128.63
2013/10/6,128.36
2013/10/7,129.43
2013/10/8,126.74
2013/10/9,125.85
2013/10/10,130.67
2013/10/11,130.75
2013/10/12,130.9
2013/10/13,135.19
2013/10/14,139.27
2013/10/15,140.77
2013/10/16,145.65
2013/10/17,142.41
2013/10/18,146.37
2013/10/19,155.91
2013/10/20,171.66
2013/10/21,174.8
2013/10/22,182.65
2013/10/23,193.36
2013/10/24,214.3
2013/10/25,197.69
2013/10/26,187.45
2013/10/27,176.6
2013/10/28,196.21
2013/10/29,198.55
2013/10/30,204.39
2013/10/31,199.83
2013/11/1,203.9
2013/11/2,205.81
2013/11/3,205.99
2013/11/4,214.66
2013/11/5,229.21
2013/11/6,244.78
2013/11/7,261.68
2013/11/8,297.85
2013/11/9,338.58
2013/11/10,348.82
2013/11/11,325.41
2013/11/12,343.06
2013/11/13,360.97
2013/11/14,406.41
2013/11/15,419.41
2013/11/16,417.28
2013/11/17,440.96
2013/11/18,496.58
2013/11/19,712.76
2013/11/20,577.98
2013/11/21,594.32
2013/11/22,724.07
2013/11/23,771.7
2013/11/24,795.63
2013/11/25,773.02
2013/11/26,805.73
2013/11/27,923.85
2013/11/28,1003.38
2013/11/29,1042.01
2013/11/30,1129.37
2013/12/1,1128.92
2013/12/2,951.42
2013/12/3,1046.4
2013/12/4,1077.58
2013/12/5,1152.73
2013/12/6,1042.38
2013/12/7,835.32
2013/12/8,697.31
2013/12/9,793.8
2013/12/10,892.32
2013/12/11,989.07
2013/12/12,882.78
2013/12/13,874.98
2013/12/14,899.85
2013/12/15,875.29
2013/12/16,880.33
2013/12/17,706.37
2013/12/18,678.2
2013/12/19,519.06
2013/12/20,694.22
2013/12/21,619.9
2013/12/22,601.78
2013/12/23,613.06
2013/12/24,672.36
2013/12/25,666.31
2013/12/26,683.94
2013/12/27,763.28
2013/12/28,737.98
2013/12/29,728.05
2013/12/30,741.35
2013/12/31,760.32
2014/1/1,754.97
2014/1/2,773.44
2014/1/3,802.85
2014/1/4,823.27
2014/1/5,858.55
2014/1/6,936.05
2014/1/7,946.49
2014/1/8,795.99
2014/1/9,841.47
2014/1/10,846.69
2014/1/11,867.32
2014/1/12,919.6
2014/1/13,860.19
2014/1/14,843.17
2014/1/15,833.12
2014/1/16,860.29
2014/1/17,834.49
2014/1/18,816.07
2014/1/19,839.66
2014/1/20,871.39
2014/1/21,869.65
2014/1/22,867.21
2014/1/23,845.46
2014/1/24,822.43
2014/1/25,796.24
2014/1/26,853.68
2014/1/27,884.6
2014/1/28,774.02
2014/1/29,809.96
2014/1/30,826.02
2014/1/31,818.43
2014/2/1,828.61
2014/2/2,832.9
2014/2/3,824.08
2014/2/4,823.77
2014/2/5,829.96
2014/2/6,815.59
2014/2/7,783.2
2014/2/8,699.57
2014/2/9,671.46
2014/2/10,681.32
2014/2/11,683.5
2014/2/12,672.38
2014/2/13,651.08
2014/2/14,601.17
2014/2/15,660.9
2014/2/16,651.3
2014/2/17,614.23
2014/2/18,627.16
2014/2/19,625.97
2014/2/20,623.09
2014/2/21,556.88
2014/2/22,574.24
2014/2/23,606.47
2014/2/24,606.04
2014/2/25,540.24
2014/2/26,537.04
2014/2/27,581.65
2014/2/28,579.7
2014/3/1,549.92
2014/3/2,567.23
2014/3/3,562.56
2014/3/4,668.24
2014/3/5,666.24
2014/3/6,664.52
2014/3/7,664.31
2014/3/8,629.66
2014/3/9,616.31
2014/3/10,636.33
2014/3/11,627.95
2014/3/12,631.91
2014/3/13,633.62
2014/3/14,638.14
2014/3/15,629.37
2014/3/16,636.5
2014/3/17,630.92
2014/3/18,621.84
2014/3/19,613.9
2014/3/20,609.74
2014/3/21,588.29
2014/3/22,571.18
2014/3/23,565.76
2014/3/24,562.51
2014/3/25,585.03
2014/3/26,583.48
2014/3/27,580.26
2014/3/28,477.14
2014/3/29,501.71
2014/3/30,492.37
2014/3/31,462.3
2014/4/1,457
2014/4/2,479.14
2014/4/3,436.44
2014/4/4,445.66
2014/4/5,446.67
2014/4/6,463.4
2014/4/7,461.47
2014/4/8,447.61
2014/4/9,453.18
2014/4/10,442.26
2014/4/11,363.71
2014/4/12,420.89
2014/4/13,421.46
2014/4/14,414.83
2014/4/15,458.37
2014/4/16,522.18
2014/4/17,529.07
2014/4/18,495.8
2014/4/19,479.58
2014/4/20,501.75
2014/4/21,497.74
2014/4/22,495.45
2014/4/23,488.36
2014/4/24,490.83
2014/4/25,500.09
2014/4/26,461.7
2014/4/27,457.24
2014/4/28,430.72
2014/4/29,439.98
2014/4/30,446.89
2014/5/1,447.63
2014/5/2,457.36
2014/5/3,449.4
2014/5/4,438.52
2014/5/5,434.78
2014/5/6,433.36
2014/5/7,429.34
2014/5/8,438.68
2014/5/9,440.18
2014/5/10,450.46
2014/5/11,453.92
2014/5/12,438.3
2014/5/13,441.53
2014/5/14,440.59
2014/5/15,444.14
2014/5/16,447.39
2014/5/17,448.12
2014/5/18,448.7
2014/5/19,446.08
2014/5/20,446.3
2014/5/21,485.8
2014/5/22,492.05
2014/5/23,525.72
2014/5/24,521.05
2014/5/25,525.23
2014/5/26,571.39
2014/5/27,582.59
2014/5/28,571.91
2014/5/29,576.33
2014/5/30,568.18
2014/5/31,615.69
2014/6/1,623.69
2014/6/2,629.65
2014/6/3,660.55
2014/6/4,666.77
2014/6/5,641.07
2014/6/6,659.28
2014/6/7,653.52
2014/6/8,654.99
2014/6/9,655.64
